,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(20,)","(7,)",539910.0,724,-57918.0,9.321972443799854,-51555.0,10.472505091649694,49.24,9,-45880.0,45,-21884.0,21399.0,-22197.0,5518.0,-3859.0,362,362,50.0
"(25,)","(3,)",566328.0,996,-61131.0,9.264170388182755,-53319.0,10.62150452934226,46.77,13,-42115.0,44,-23790.0,29715.0,-19236.0,4533.0,-2907.0,498,498,50.0
"(20,)","(8,)",527646.0,694,-57645.0,9.153369763205829,-53193.0,9.919463087248323,49.42,12,-39657.0,43,-23222.0,25788.0,-23541.0,5504.0,-3872.0,347,347,50.0
"(20,)","(4,)",550746.0,966,-62832.0,8.765374331550802,-60963.0,9.034102652428523,47.92,12,-44105.0,43,-24378.0,25221.0,-17640.0,4572.0,-3104.0,483,483,50.0
"(20,)","(3,)",567420.0,1154,-71526.0,7.9330593071051085,-69111.0,8.210270434518383,46.21,11,-45631.0,33,-26326.0,24969.0,-15897.0,4172.0,-2663.0,577,577,50.0
"(25,)","(2,)",553014.0,1424,-74340.0,7.438983050847457,-71841.0,7.697749196141479,44.36,11,-46145.0,36,-24620.0,24969.0,-15603.0,3773.0,-2297.0,712,712,50.0
"(20,)","(9,)",457170.0,652,-61572.0,7.424965893587995,-55104.0,8.296493902439025,50.31,11,-43040.0,43,-22929.0,22050.0,-24465.0,5443.0,-4096.0,326,326,50.0
"(25,)","(5,)",475860.0,758,-64302.0,7.400391900718485,-59703.0,7.970453746042913,48.15,10,-43403.0,43,-22997.0,29652.0,-21378.0,5195.0,-3593.0,379,379,50.0
"(40,)","(3,)",538356.0,767,-75516.0,7.129032258064516,-72198.0,7.456660849331007,48.04,10,-46658.0,49,-22433.0,27426.0,-20223.0,5039.0,-3303.0,383,384,49.93
"(25,)","(4,)",534660.0,833,-78498.0,6.811128945960407,-73962.0,7.228847245883021,47.0,12,-42612.0,41,-23768.0,30240.0,-19257.0,5073.0,-3273.0,417,416,50.06
